text,label
I feel okay today,safe
I had a stressful day but I am managing,safe
I feel tired after work,safe
I am worried about school,safe
I slept badly last night,safe
I feel lonely sometimes,safe
I need someone to talk to,safe
I am feeling better than yesterday,safe
I am nervous about my appointment,safe
I feel sad but I am safe,safe
I argued with a friend and feel upset,safe
I am overwhelmed with responsibilities,safe
I feel anxious before exams,safe
I want advice on coping with stress,safe
I am having a hard week,safe
I miss my family,safe
I feel calm today,safe
I am frustrated but okay,safe
I need rest and support,safe
I feel hopeful after talking to someone,safe
I feel hopeless,at_risk
I can't go on,at_risk
I want to end it,at_risk
I am tired of everything,at_risk
I want to die,at_risk
I want to kill myself,at_risk
I might hurt myself tonight,at_risk
There is no reason to live,at_risk
I feel like ending it all,at_risk
I do not want to be alive,at_risk
I am thinking about suicide,at_risk
I cannot keep living like this,at_risk
Everyone would be better without me,at_risk
I have a plan to hurt myself,at_risk
I feel trapped and want it to stop forever,at_risk
I am scared I will harm myself,at_risk
I keep thinking about ending my life,at_risk
I cannot see any way out,at_risk
I want the pain to end permanently,at_risk
I am close to giving up completely,at_risk
